2025-03-16	1	Blue	Crimson
2025-03-16	1	Purple	Crimson
2025-03-16	1	Orange	Cyan
2025-03-16	1	Green	Coral
2025-03-16	1	Diamond	Yellow
2025-03-16	1	Tan	Olive
2025-03-16	1	Arctic	Red
2025-03-16	1	Navy	Indigo
2025-03-16	1	Goldenrod	Hot Pink
2025-03-16	1	Emerald	Emerald
2025-03-23	2	Indigo	Olive
2025-03-23	2	Coral	Goldenrod
2025-03-23	2	Cyan	Cyan
2025-03-23	2	Cerulean	Arctic
2025-03-23	2	Red	Purple
2025-03-23	2	Diamond	Orange
2025-03-23	2	Hot Pink	Navy
2025-03-23	2	Yellow	Green
2025-03-23	2	Teal	Blue
2025-03-23	2	Crimson	Tan
2025-03-30	3	Purple	Cerulean
2025-03-30	3	Navy	Coral
2025-03-30	3	Blue	Cyan
2025-03-30	3	Tan	Indigo
2025-03-30	3	Emerald	Diamond
2025-03-30	3	Goldenrod	Yellow
2025-03-30	3	Crimson	Red
2025-03-30	3	Orange	Green
2025-03-30	3	Arctic	Teal
2025-03-30	3	Olive	Hot Pink
2025-04-06	4	Coral	Olive
2025-04-06	4	Green	Emerald
2025-04-06	4	Hot Pink	Indigo
2025-04-06	4	Red	Tan
2025-04-06	4	Cerulean	Crimson
2025-04-06	4	Diamond	Blue
2025-04-06	4	Teal	Purple
2025-04-06	4	Yellow	Navy
2025-04-06	4	Goldenrod	Orange
2025-04-06	4	Cyan	Arctic
2025-04-13	5	Emerald	Goldenrod
2025-04-13	5	Blue	Green
2025-04-13	5	Tan	Hot Pink
2025-04-13	5	Arctic	Diamond
2025-04-13	5	Indigo	Coral
2025-04-13	5	Olive	Yellow
2025-04-13	5	Crimson	Teal
2025-04-13	5	Orange	Navy
2025-04-13	5	Red	Cerulean
2025-04-13	5	Purple	Cyan
2025-04-20	6	Goldenrod	Blue
2025-04-20	6	Green	Arctic
2025-04-20	6	Navy	Emerald
2025-04-20	6	Cerulean	Tan
2025-04-20	6	Yellow	Indigo
2025-04-20	6	Teal	Red
2025-04-20	6	Olive	Orange
2025-04-20	6	Diamond	Purple
2025-04-20	6	Cyan	Crimson
2025-04-20	6	Coral	Hot Pink
